id,Title,Content,SKU,"Product Type","Parent Product ID",Test,Trucks,Wheels,"Product Attributes","Regular Price"
950,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Orangatang Keanu 86a 66mm",,80
946,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
949,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
951,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Orangatang Keanu 86a 66mm",,80
952,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Orangatang Keanu 86a 66mm",,80
953,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Orangatang Keanu 83a 66mm",,80
954,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
955,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
956,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Orangatang Keanu 83a 66mm",,80
957,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Orangatang Keanu 83a 66mm",,80
941,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Orangatang Keanu 86a 66mm",,80
943,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
944,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Orangatang Keanu 86a 66mm",,80
945,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Orangatang Keanu 86a 66mm",,80
940,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Orangatang Keanu 86a 66mm",,80
939,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
942,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Orangatang Keanu 86a 66mm",,80
930,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Skiffs 80a",,80
928,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Skiffs 80a",,80
932,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Skiffs 80a",,80
931,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Skiffs 80a",,80
936,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Skiffs 80a",,80
933,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Skiffs 80a",,80
934,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Skiffs 80a",,80
935,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Skiffs 80a",,80
937,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Orangatang Keanu 86a 66mm",,80
929,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Skiffs 80a",,80
938,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
918,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Skiffs 83a",,80
917,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Skiffs 83a",,80
916,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Skiffs 83a",,80
915,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Skiffs 83a",,80
914,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Skiffs 83a",,80
919,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Skiffs 83a",,80
920,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Skiffs 83a",,80
921,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Skiffs 80a",,80
922,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Skiffs 80a",,80
924,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Skiffs 80a",,80
925,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Skiffs 80a",,80
926,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Skiffs 80a",,80
927,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Skiffs 80a",,80
922,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Skiffs 80a",,80
921,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Skiffs 80a",,80
901,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Skiffs 86a",,80
899,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Skiffs 86a",,80
898,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Skiffs 86a",,80
897,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Skiffs 86a",,80
895,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Skiffs 86a",,80
894,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Skiffs 86a",,80
900,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Skiffs 86a",,80
893,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Skiffs 86a",,80
896,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Skiffs 86a",,80
902,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Skiffs 86a",,80
903,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Skiffs 86a",,80
907,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Skiffs 83a",,80
912,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Skiffs 83a",,80
911,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Skiffs 83a",,80
910,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Skiffs 83a",,80
